imagelink,productlink,ProductName,Brand,price,maxretailprice,stars,Ratings,Reviews,Mother Category,Category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,Platform,Quantity
https://m.media-amazon.com/images/I/612o2oQYTBL._AC_UL400_.jpg,https://amazon.in/XINGZHE-Metal-Headbands-Women-Bands/dp/B07VCVZ16C/ref=sr_1_12?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-12,XINGZHE Metal Headbands for Men Women Hair Bands - Black Fashion Hairband for Mens Sports Headband for Women's Hair Care Beauty Unisex Non Slip Elastic Wavy Wide Hair Hoop Clips Accessories Outdoors,bodbop XINGZHE,29,99,4.1,853,44,Beauty,Women'sFashionHeadbands,494,145,85,51,68,Amazon,1.00 count
https://m.media-amazon.com/images/I/31nO3bM7FlL._AC_UL400_.jpg,https://amazon.in/Sheetal-Traders-Barrettes-Accessories-Hairstyles/dp/B0BYZ2DNTB/ref=sr_1_13?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-13,Sheetal Traders Women Flowers Hair Barrettes Rose Hair Accessories for Wedding Party Hairstyles Hair Rose Clip for Women (Set of 1),Sheetal Traders,199,599,5,1,1,Beauty,HairPins,1,NaN,NaN,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/51Y6NlF+dkL._AC_UL400_.jpg,https://amazon.in/QERINKLE%C2%AE-Thermal-Treatment-Steamer-Nourishing/dp/B07X99C8DB/ref=sr_1_14?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-14,"QERINKLE Hair Care Thermal Head Spa Cap Treatment with Beauty Steamer Nourishing Heating Cap, Spa Cap For Hair, Spa Cap Steamer For Women (SPA CAP)",QERINKLE,399,999,4,3388,388,Beauty,"Caps,Foils&WrapsforHairColouring",1761,745,406,169,304,Amazon,1 count
https://m.media-amazon.com/images/I/619GE8sqk2L._AC_UL400_.jpg,https://amazon.in/Droposale-Shaper-Accessories-Purpose-Grooming/dp/B0BS8MY8Z4/ref=sr_1_15?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-15,"Droposale Beard Shaper Tool With Comb For Men, Home And Salon Use Comb, Beard comb, Men Beard Accessories Multi Purpose Grooming kit (Pack of 1) (Black)",DROPOSALE,175,399,4,2,1,Beauty,HairCombs,NaN,2,NaN,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/61ouhcEefzS._AC_UL400_.jpg,https://amazon.in/Shivaaro-Accessories-Wedding-Anniversary-Golden/dp/B0BMQJ8JDR/ref=sr_1_16?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-16,"Shivaaro Hair Pin Accessories For Women Hair Pins For Wedding, Anniversary- Pack Of 8, White And Golden",Shivaaro,240,399,,,,Beauty,HairPins,NaN,NaN,NaN,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/71wK6mFYQLL._AC_UL400_.jpg,https://amazon.in/Vogue-Hair-Accessories-Hairband-Multicolor/dp/B0B5B57V69/ref=sr_1_19?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-19,Vogue Hair Accessories Soft Knot Woollen Knitted Warm Head Band Head Wrap Hairband Ear Warmer Hair Accessories for Winters,Vogue Hair Accessories,312799,312799,4.6,3,,Jewellery(SeeTop100inJewellery),FashionHeadbands,1,1,NaN,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/71PvjaQr8TL._AC_UL400_.jpg,https://amazon.in/ULUPI-EXIM-Accessories-Butterfly-Clutcher/dp/B0BVBZB5W7/ref=sr_1_20?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-20,"ULUPI EXIM Hair Accessories 1 Pc Hair Clips For Women, Stone Accessories For Girls, Hair Accessories Wedding, Claw Clip, Butterfly, Hair Clip, Hair Clutcher (ROSE PEARL)",ULUPI EXIM,249,599,2.5,3,1,Beauty,Clips,1,NaN,NaN,NaN,1,Amazon,1.00 count
https://m.media-amazon.com/images/I/71bc+vAdofL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfbXRmOjIwMTIzNzI3NDU0Mzk4OjowOjo&url=%2FFABSKIN-Massager-Silicone-Bristles-Exfoliating%2Fdp%2FB09PLFSVGF%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"FABSKIN Hair Scalp Massager Shampoo Brush with Soft Silicone Bristles, Anti Dandruff, Exfoliating with Scalp Care (Grey)",FABSKIN,189,225,3.6,101,16,Beauty,HairBrushes,38,25,16,7,15,Amazon,1 count
https://m.media-amazon.com/images/I/41pWDa2VX+S._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfbXRmOjIwMTQyNDk2MDI3NDk4OjowOjo&url=%2FUrbanorganics-WheatGerm-Pressed-Natural-180ml%2Fdp%2FB08GJDLLXB%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA36ULYEQVZNCHW,"Urbanorganics Wheat Germ Essential Oil For Hair, Skin Care, Cold Pressed Natural Oil Pure | Anti-Hairfall | Promotes Hair growth, Softness & Shine, (180ml)",Urbanorganics,470,999,4.1,559,41,Beauty,HairOils,268,156,72,22,33,Amazon,180.0 millilitre
https://m.media-amazon.com/images/I/41dkZIug7ML._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfbXRmOjIwMDQ4MTExNjIzODAzOjowOjo&url=%2FSchwarzkopf-Professional-Essence-Enriching-Masque%2Fdp%2FB084TFR927%2Fref%3Dsr_1_23_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Schwarzkopf Professional Spa Essence Enriching Masque | For Damaged, Dull Hair | 500 Ml",Schwarzkopf Professional,627,660,4.2,1300,300,Beauty,HairMasks&Packs,728,299,143,65,65,Amazon,500.0 millilitre
https://m.media-amazon.com/images/I/61LdCmLAlcL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfbXRmOjIwMDkwODYyODcxNTk4OjowOjo&url=%2FNourish-Advanced-Redensyl-Procapil-Thinning%2Fdp%2FB0B5KM7GDS%2Fref%3Dsr_1_24_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Nourish Mantra Advanced Hair Growth Serum/For Women & Men/Made With Redensyl, Anagain, Procapil & Rice Water/for Hair Fall/Hair Thinning & for All Hair Types (50 ml)",NOURISH MANTRA,959,"1,695",4.2,84,33,Beauty,HairStylingSerums,57,7,6,5,7,Amazon,50.0 millilitre
https://m.media-amazon.com/images/I/718L0G6qnPL._AC_UL400_.jpg,https://amazon.in/VENIQE-Treatment-Nourishing-Scalp-Brush/dp/B0BQGHNRM8/ref=sr_1_25?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-25,VENIQE Hair Care Thermal Head Spa Cap Treatment with Beauty Steamer Nourishing Heating Cap And Hair Scalp Massager Shampoo Brush Green,VENIQE,399,999,4.1,77,38,Beauty,ShowerCaps,43,14,7,1,9,Amazon,2.00 count
https://m.media-amazon.com/images/I/51vj+6TAanL._AC_UL400_.jpg,https://amazon.in/NYAMAH-SALES-Professional-Hairdressing-Accessory/dp/B0BRZQX6MR/ref=sr_1_26?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-26,NYAMAH SALES Professional Plastic Salon Barbers Tail Comb with Hair Cutting Scissor Combo Pack Hairdressing Haircut Accessory for Salon and Home (Pack of 2),NYAMAH SALES,275,599,,,,Beauty,HairCombs,NaN,NaN,NaN,NaN,NaN,Amazon,2.00 count
https://m.media-amazon.com/images/I/917WM6oqj-L._AC_UL400_.jpg,https://amazon.in/HP-Profile-Accessories-Korea_Korean-Girls-24/dp/B082YGZ4D5/ref=sr_1_27?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-27,HP HIGH PROFILE Tic Tac Hair Clips and Hair Accessories for Women and Girls 24 Pcs (pack of 2) - Black Glossy and Matte,HP HIGH PROFILE,199,599,3.9,93,6,Beauty,Clips,41,18,20,5,6,Amazon,24.00 count
https://m.media-amazon.com/images/I/71bB+EZ1R1L._AC_UL400_.jpg,https://amazon.in/Lil-Diva-Minnie-Fashion-Accessories/dp/B0B8VYTQZB/ref=sr_1_28?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-28,"Li'l Diva Minnie Mouse Fashion Accessories Set Of 8pcs - 1 Comb, 1 Mirror, 4 Hair Bands, 2 Clips With 1 Bag for Girls 3 Years And Above",,350,699,,,,Beauty,HairStylingTools(Beauty),NaN,NaN,NaN,NaN,NaN,Amazon,
https://m.media-amazon.com/images/I/81wo4s4hC0L._AC_UL400_.jpg,https://amazon.in/DEKMY-Womens-Diamond-Design-Accessories/dp/B0BXJ65K62/ref=sr_1_29?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-29,"DEKMY Women's Hair Bands Leaf and Diamond Design Alloy Hair Accessories (Silver, Pack Of 1)",DEKMY,199,749,5,11,11,Beauty,Women'sFashionHeadbands,11,NaN,NaN,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/51ffnw2ozlL._AC_UL400_.jpg,https://amazon.in/SYGA-Ponytail-Headbands-Princess-Accessories/dp/B0B5LHWJ5Q/ref=sr_1_31?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-31,SYGA Girl Wig Heawear Ponytail Headbands Styling Princess Baby Children Rubber Bands Hair Accessories (Blue Green Tresses),SYGA,169,399,4,1,,Beauty,Women'sFashionHeadbands,NaN,1,NaN,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/61GiyePlSoL._AC_UL400_.jpg,https://amazon.in/Accessher-Plated-Designer-Studded-Rhinestone/dp/B06XRWLNKH/ref=sr_1_33?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-33,"Accessher Gold Plated Designer Studded Back Hair Center Clip with Multicolor Rhinestone Hairpin, Hair accessory for Womens and Girls",ACCESSHER,312,"1,035",5,3,,Beauty,HairClaws,3,NaN,NaN,NaN,NaN,Amazon,1.00 count
