ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,Country of Origin,reviewsLink,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,HighLights,Fragrance Classification,Ideal For,Quantity,Sales Package,Pack of,Brand,Model Name,Shade,Color,Organic,Waterproof,Finish,Form,Container Type,Professional Care,Multi Shaded,Skin Type,Series,Type,Other Traits,Weight,Maximum Shelf Life,Gift Pack,Fragrance Family,Ideal Usage,Limited Edition,Organic Type,Multi-shaded,Coverage,Composition,Skin Tone,Model Number,Foldable,Anti Perspirant,SPF Rating,Texture,Oil-free,Serum Type,Applied For,Hair Type,Hair Condition,Sulfate Free,SPF,Duration,Flavor,Other Features,Size
Mony Aqua Di Profumo Luxury Unisex Perfume 48 Hour Long Lasting Perfume  -  100 ml  (For Men & Women),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/n/e/b/100-aqua-di-profumo-luxury-unisex-perfume-48-hour-long-lasting-original-imagjmwufhnh4pyw.jpeg?q=70,https://www.flipkart.com/mony-aqua-di-profumo-luxury-unisex-perfume-48-hour-long-lasting-100-ml/p/itmd0a226e2276aa?pid=PERGJMWUM4YTXHGH&lid=LSTPERGJMWUM4YTXHGHR3ANRS&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_2_77&otracker=search&otracker1=search&fm=organic&iid=a89c59f5-0d34-4a74-b62a-7e9f544b1a15.PERGJMWUM4YTXHGH.SEARCH&ppt=None&ppn=None&ssid=t86y64o8gw0000001680694840783&qH=a9d908f637866fb8,765,899,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 100 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Perfume"",""Fragrance Family: Woody"",""Fragrance Segment: Entry""]",Perfume,Men & Women,100 ml,1,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"NIVEA Ice Cool and Energy Deodorant Spray  -  For Men  (240 ml, Pack of 2)",https://rukminim1.flixcart.com/image/612/612/kingqkw0pkrrdj-0/personal-care/w/2/x/240-gd-nvacom1-nivea-men-original-imafyggpyyjfmmbm.jpeg?q=70,https://www.flipkart.com/nivea-ice-cool-energy-deodorant-spray-men/p/itmc2fc95be7b950?pid=DEOE88DFTAV6BDJ9&lid=LSTDEOE88DFTAV6BDJ9CMODRK&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_2_78&otracker=search&otracker1=search&fm=organic&iid=a89c59f5-0d34-4a74-b62a-7e9f544b1a15.DEOE88DFTAV6BDJ9.SEARCH&ppt=None&ppn=None&ssid=t86y64o8gw0000001680694840783&qH=a9d908f637866fb8,500,500,3.9,87,Not available,https://www.flipkart.com/nivea-ice-cool-energy-deodorant-spray-men/product-reviews/itmc2fc95be7b950?pid=DEOE88DFTAV6BDJ9&lid=LSTDEOE88DFTAV6BDJ9CMODRK&marketplace=FLIPKART,39,28,4,7,9,6 Reviews,"[""Quantity: 240 ml"",""Fragrance: Deodorant Spray"",""For Men""]",Not available,Men,240 ml,2 Deodorants,2,NIVEA,Ice Cool and Energy,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Deodorant Spray,Not available,Not available,Not available,Not available,Fresh,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
ARMAF Skin Couture Deodorant Spray  -  For Women  (200 ml),https://rukminim1.flixcart.com/image/612/612/deodorant/f/6/q/body-spray-armaf-200-skin-couture-original-imae4s2zateczctj.jpeg?q=70,https://www.flipkart.com/armaf-skin-couture-deodorant-spray-women/p/itm6b0a6a2c10696?pid=DEOE4SVYWFHJ9F6Q&lid=LSTDEOE4SVYWFHJ9F6QKDR2RW&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_2_79&otracker=search&otracker1=search&fm=organic&iid=a89c59f5-0d34-4a74-b62a-7e9f544b1a15.DEOE4SVYWFHJ9F6Q.SEARCH&ppt=None&ppn=None&ssid=t86y64o8gw0000001680694840783&qH=a9d908f637866fb8,279,299,4.1,38,Not available,https://www.flipkart.com/armaf-skin-couture-deodorant-spray-women/product-reviews/itm6b0a6a2c10696?pid=DEOE4SVYWFHJ9F6Q&lid=LSTDEOE4SVYWFHJ9F6QKDR2RW&marketplace=FLIPKART,22,5,6,1,4,5 Reviews,"[""Quantity: 200 ml"",""Fragrance: Deodorant Spray"",""For Women"",""Anti Perspirant""]",Not available,Women,200 ml,1 Deodorant,1,ARMAF,Skin Couture,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Deodorant Spray,Not available,Not available,24 Months,Not available,"Floral, Fresh",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Adilqadri Premium Glamour Oudh Long Lasting Fragrance Eau de Parfum  -  100 ml  (For Men & Women),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/g/p/c/100-premium-glamour-oudh-long-lasting-fragrance-eau-de-parfum-original-imaghnuszauewahr.jpeg?q=70,https://www.flipkart.com/adilqadri-premium-glamour-oudh-long-lasting-fragrance-eau-de-parfum-100-ml/p/itm6271d3c8818fc?pid=PERGHNUSAUQ6HPNR&lid=LSTPERGHNUSAUQ6HPNRMONP6X&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_2_80&otracker=search&otracker1=search&fm=organic&iid=en_juTIyNRYoDEk%2BfUBih1qFvzhX%2BLnMoZBTq1T2ARywivesBQzvSOOwzxeivHXxZUFU1cMiJTBLaX8VykU7smFfw%3D%3D&ppt=None&ppn=None&ssid=t86y64o8gw0000001680694840783&qH=a9d908f637866fb8,3499,4999,3.8,4,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 100 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Woody"",""Fragrance Segment: Budget""]",Eau de Parfum,Men & Women,100 ml,1 Parfum,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Mony Aqua Di Profumo Luxury Unisex Perfume 48 Hour Long Lasting Perfume  -  100 ml  (For Men & Women),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/n/e/b/100-aqua-di-profumo-luxury-unisex-perfume-48-hour-long-lasting-original-imagjmwufhnh4pyw.jpeg?q=70,https://www.flipkart.com/mony-aqua-di-profumo-luxury-unisex-perfume-48-hour-long-lasting-100-ml/p/itmd0a226e2276aa?pid=PERGJMWUM4YTXHGH&lid=LSTPERGJMWUM4YTXHGHR3ANRS&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_81&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.PERGJMWUM4YTXHGH.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,765,899,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 100 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Perfume"",""Fragrance Family: Woody"",""Fragrance Segment: Entry""]",Perfume,Men & Women,100 ml,1,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"YAWI Multi Purpose Non Transfer Liquid Chrome LUXURY Lipstick  (melon orange, 6 ml)",https://rukminim1.flixcart.com/image/612/612/kzpw2vk0/lipstick/g/q/g/6-multi-purpose-non-transfer-liquid-chrome-luxury-lipstick-yawi-original-imagbntgbytgucdp.jpeg?q=70,https://www.flipkart.com/yawi-multi-purpose-non-transfer-liquid-chrome-luxury-lipstick/p/itm8712e1334fd15?pid=LSKGBQAJZPCGQE4E&lid=LSTLSKGBQAJZPCGQE4EIEYQZ8&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_82&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.LSKGBQAJZPCGQE4E.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,415,499,Not available,Not available,INDIA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Gives a Matte finish look"",""Texture is: Liquid"",""Quantity: 6 ml""]",Not available,Not available,Not available,1 DIAMOND SHINY LIPSTICK,Not available,Not available,Not available,Not available,Orange,Not available,Not available,Matte,Liquid,Not available,Yes,Not available,All Skin Types,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Wheatish,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,SPF 30,12-15 hrs,Not available,Not available,Not available
"ADJD WHITE LUXURY LOOSE POWDER WATER PROF & LONG LASTING Compact  (WHITE, 25 g)",https://rukminim1.flixcart.com/image/612/612/xif0q/compact/r/y/e/25-white-luxury-loose-powder-water-prof-long-lasting-for-all-original-imaghxgqzqaurpyh.jpeg?q=70,https://www.flipkart.com/adjd-white-luxury-loose-powder-water-prof-long-lasting-compact/p/itm6343608fd753d?pid=CMPGHXGZN3PEKGU3&lid=LSTCMPGHXGZN3PEKGU3S7FICJ&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_83&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.CMPGHXGZN3PEKGU3.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,298,499,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""It is suitable for Wheatish skin tone.""]",Not available,Not available,25 g,1,Not available,ADJD,WHITE LUXURY LOOSE POWDER WATER PROF & LONG LASTING,WHITE,White,No,Not available,Not available,Not available,Not available,Not available,Not available,All Skin Type,Not available,Not available,Not available,Not available,36 Months,Not available,Not available,Not available,Not available,Not available,No,FULL COVERAGE,Not available,Wheatish,Not available,Not available,Not available,Not available,LOOSE POWDER,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Gives Your Skin A Long Lasting Matte Finish,, OIL CONTROL FORMULA, Creating 3D makeup effect easily, SMOOTH APPLICATION",Not available
"Fabskin Loofah  (Pack of 2, Black, White)",https://rukminim1.flixcart.com/image/612/612/kvzkosw0/loofah/q/y/r/luxury-bathing-loofah-couples-pack-of-2-loofah-for-women-round-original-imag8rsb8zfmhk8v.jpeg?q=70,https://www.flipkart.com/fabskin-loofah/p/itme3496e0a361f5?pid=LFHGYDCDFZRW3HM2&lid=LSTLFHGYDCDFZRW3HM2NXATIF&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_84&otracker=search&otracker1=search&fm=organic&iid=en_D0hrnmvclS4cDgAq707f8Dy%2FolVfoj%2BT2jQcjep5cOseVVj5luic3J4C4bX5tRm97VaoqFdslrj9YLPTD402Ng%3D%3D&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,175,225,4.3,1582,Not available,https://www.flipkart.com/fabskin-loofah/product-reviews/itme3496e0a361f5?pid=LFHGYDCDFZRW3HM2&lid=LSTLFHGYDCDFZRW3HM2NXATIF&marketplace=FLIPKART,894,387,177,52,72,84 Reviews,"[""Color: Black, White""]",Not available,Not available,Not available,2,2,Fabskin,Luxury Bathing Loofah (Couples Pack of 2) Loofah For Women / Round Loofah for Men and Women / Loofah For Bathing / Bath Loofah For Bathing / Bath Loofah Brush / Shower Bath Loofah,Not available,"Black, White",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Luxury Bathing loofah Couples,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"ADJD White luxury loose compact powder For Oil Free makeup setting Compact  (WHITE, 10 g)",https://rukminim1.flixcart.com/image/612/612/xif0q/compact/o/h/n/10-white-luxury-loose-compact-powder-for-oil-free-makeup-setting-original-imagm5ngfjk3fmm7.jpeg?q=70,https://www.flipkart.com/adjd-white-luxury-loose-compact-powder-oil-free-makeup-setting/p/itm3914ff30d27dc?pid=CMPGM5NG8UQZHSQG&lid=LSTCMPGM5NG8UQZHSQG1CH0QJ&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_85&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.CMPGM5NG8UQZHSQG.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,275,499,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""It is suitable for Wheatish skin tone.""]",Not available,Not available,10 g,1-setting powder,Not available,ADJD,White luxury loose compact powder For Oil Free makeup setting,WHITE,White,No,Not available,Matte,Not available,Not available,Not available,Not available,All Skin Type,Not available,Not available,Not available,Not available,36 Months,Not available,Not available,Not available,Not available,Not available,No,FULL COVERAGE,Not available,Wheatish,Not available,Not available,Not available,Not available,LOOSE POWDER,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Perfect for all occasions., For all skin types, OIL CONTROL FORMULA",Not available
ARMAF I Divo Deodorant Spray  -  For Men  (200 ml),https://rukminim1.flixcart.com/image/612/612/deodorant/h/3/k/body-spray-armaf-200-i-divo-original-imae4udnbaujupmn.jpeg?q=70,https://www.flipkart.com/armaf-divo-deodorant-spray-men/p/itmca06ebb14f96f?pid=DEOE4VKZUYZGWH3K&lid=LSTDEOE4VKZUYZGWH3KZVOYT8&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_86&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.DEOE4VKZUYZGWH3K.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,222,299,4.1,38,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 200 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Anti Perspirant""]",Not available,Men,200 ml,1 Deodorant,1,ARMAF,I Divo,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Deodorant Spray,Not available,Not available,24 Months,Not available,Musk,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
NIKE Brown Eau de Toilette Deodorant Spray  -  For Men  (200 ml),https://rukminim1.flixcart.com/image/612/612/deodorant/m/y/s/deodorant-spray-nike-200-brown-eau-de-toilette-original-imae64zbyr5wuzha.jpeg?q=70,https://www.flipkart.com/nike-brown-eau-de-toilette-deodorant-spray-men/p/itmf3v9ry5fthy52?pid=DEOE676WTFRUFMYS&lid=LSTDEOE676WTFRUFMYSTOYKR8&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_87&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.DEOE676WTFRUFMYS.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,368,369,3.7,204,Not available,https://www.flipkart.com/nike-brown-eau-de-toilette-deodorant-spray-men/product-reviews/itmf3v9ry5fthy52?pid=DEOE676WTFRUFMYS&lid=LSTDEOE676WTFRUFMYSTOYKR8&marketplace=FLIPKART,86,40,31,19,28,20 Reviews,"[""Quantity: 200 ml"",""Fragrance: Deodorant Spray"",""For Men""]",Not available,Men,200 ml,1 Deodorant,1,NIKE,Brown Eau de Toilette,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Deodorant Spray,Not available,Not available,60 Months,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
DJOKR Wicked Perfume For Men | Premium Luxury Long Lasting Fragrance Spray Eau de Parfum  -  100 ml  (For Men),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/r/0/i/100-wicked-perfume-for-men-premium-luxury-long-lasting-fragrance-original-imagkzbtwx93gbbr.jpeg?q=70,https://www.flipkart.com/djokr-wicked-perfume-men-premium-luxury-long-lasting-fragrance-spray-eau-de-parfum-100-ml/p/itm55b3b8fbbb27c?pid=PERGCZSGJFPUHCEY&lid=LSTPERGCZSGJFPUHCEYWTYAV9&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_88&otracker=search&otracker1=search&fm=organic&iid=en_D0hrnmvclS4cDgAq707f8Dy%2FolVfoj%2BT2jQcjep5cOtcSuLOXUGrIsXOr7gdf0ehVwKGk4ZX2TZJYuuIV%2FSpeg%3D%3D&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,501,650,4,603,India,https://www.flipkart.com/djokr-wicked-perfume-men-premium-luxury-long-lasting-fragrance-spray-eau-de-parfum-100-ml/product-reviews/itm55b3b8fbbb27c?pid=PERGCZSGJFPUHCEY&lid=LSTPERGCZSGJFPUHCEYWTYAV9&marketplace=FLIPKART,360,90,50,28,75,162 Reviews,"[""Quantity: 100 ml"",""Ideal For: Men"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Fresh"",""Fragrance Segment: Entry""]",Eau de Parfum,Men,100 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"LAYER'R Shot - Absolute Series - Power Deodorant Spray  -  For Men  (540 ml, Pack of 4)",https://rukminim1.flixcart.com/image/612/612/kkbh8cw0/deodorant/t/r/f/shot-absolute-series-power-deodorant-spray-layer-r-men-original-imafzzt9htyffq4e.jpeg?q=70,https://www.flipkart.com/layer-r-shot-absolute-series-power-deodorant-spray-men/p/itmf3v9q6fdaxhnv?pid=DEOE7Y9YVKGXTSZ8&lid=LSTDEOE7Y9YVKGXTSZ8K4O5UK&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_89&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.DEOE7Y9YVKGXTSZ8.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,898,996,4.2,57,India,https://www.flipkart.com/layer-r-shot-absolute-series-power-deodorant-spray-men/product-reviews/itmf3v9q6fdaxhnv?pid=DEOE7Y9YVKGXTSZ8&lid=LSTDEOE7Y9YVKGXTSZ8K4O5UK&marketplace=FLIPKART,33,14,2,2,6,6 Reviews,"[""Quantity: 540 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Anti Perspirant"",""Limited Edition""]",Not available,Men,540 ml,1 Deodorant,4,LAYER'R,Shot - Absolute Series - Power,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Deodorant Spray,Not available,Not available,36 Months,Not available,Fresh,Not available,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
RASASI Royale Deodorant Spray  -  For Men & Women  (200 ml),https://rukminim1.flixcart.com/image/612/612/kkh6zrk0/deodorant/m/l/s/royale-deodorant-spray-rasasi-men-women-original-imafzt5m8qpvkz5h.jpeg?q=70,https://www.flipkart.com/rasasi-royale-deodorant-spray-men-women/p/itmf3v9q4zmnf7mb?pid=DEOE9MXHWEZCHVCV&lid=LSTDEOE9MXHWEZCHVCVI3OXKJ&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_90&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.DEOE9MXHWEZCHVCV.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,270,299,4.2,211,UNITED ARAB EMIRATES,https://www.flipkart.com/rasasi-royale-deodorant-spray-men-women/product-reviews/itmf3v9q4zmnf7mb?pid=DEOE9MXHWEZCHVCV&lid=LSTDEOE9MXHWEZCHVCVI3OXKJ&marketplace=FLIPKART,123,51,16,7,14,30 Reviews,"[""Quantity: 200 ml"",""Fragrance: Deodorant Spray"",""For Men & Women"",""Anti Perspirant""]",Not available,Men & Women,200 ml,1 Deodorant,1,RASASI,Royale,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Deodorant Spray,Original Product,Not available,36 Months,Not available,Fresh,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Kamz Matte Fixer combo with Primer Foundation Luxury Primer - 150 ml (Transparent) Primer  - 150 ml  (Transperant),https://rukminim1.flixcart.com/image/612/612/l0jwbrk0/primer/t/z/a/150-matte-fixer-combo-with-primer-foundation-luxury-primer-150-original-imagcbauzpgtmqdp.jpeg?q=70,https://www.flipkart.com/kamz-matte-fixer-combo-primer-foundation-luxury-150-ml-transparent/p/itmba8cc2ebc0722?pid=PRMGCA9TREZ2PKJZ&lid=LSTPRMGCA9TREZ2PKJZFERGZ9&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_91&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.PRMGCA9TREZ2PKJZ.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,99,199,3.8,108,Not available,https://www.flipkart.com/kamz-matte-fixer-combo-primer-foundation-luxury-150-ml-transparent/product-reviews/itmba8cc2ebc0722?pid=PRMGCA9TREZ2PKJZ&lid=LSTPRMGCA9TREZ2PKJZFERGZ9&marketplace=FLIPKART,47,23,23,3,12,11 Reviews,"[""Organic Type: No"",""Skin Type: Normal"",""Form: Gel"",""Color: Transperant""]",Not available,Not available,150 ml,Not available,Not available,Not available,Not available,Transperant,Not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Normal,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Fair,Not available,Not available,Not available,30,Gel,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Fabskin Loofah  (Pack of 2, Multicolor)",https://rukminim1.flixcart.com/image/612/612/kvzkosw0/loofah/y/y/o/luxury-bathing-loofah-couples-pack-of-2-loofah-for-women-bath-original-imag8rqmp9dxmewh.jpeg?q=70,https://www.flipkart.com/fabskin-loofah/p/itm0ff5bdd4ba73e?pid=LFHFMDZ2YN4YSHGV&lid=LSTLFHFMDZ2YN4YSHGVW4CU5B&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_92&otracker=search&otracker1=search&fm=organic&iid=en_D0hrnmvclS4cDgAq707f8Dy%2FolVfoj%2BT2jQcjep5cOuBr%2FOLJsHJP7lOlH%2BDkG6cyIAWIx1y2qtsClMvGOVOlw%3D%3D&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,175,225,4.3,10295,Not available,https://www.flipkart.com/fabskin-loofah/product-reviews/itm0ff5bdd4ba73e?pid=LFHFMDZ2YN4YSHGV&lid=LSTLFHFMDZ2YN4YSHGVW4CU5B&marketplace=FLIPKART,"5,623","2,730","1,227",370,345,956 Reviews,"[""Color: Multicolor"",""Size: Large""]",Not available,Not available,Not available,Not available,2,Fabskin,Luxury Bathing Loofah (Couples Pack of 2) Loofah For Women / Bath Sponge / Round Loofah for Men and Women / Loofah For Bathing / Bath Sponge For Bathing / Bath Scrub Brush / Shower Bath Loofah,Not available,Multicolor,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Luxury Bathing loofah Couples,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Large
"La French Party Girl Perfume, with Long Lasting Premium Fragances, Eau De Perfume Eau de Parfum  -  10 ml  (For Women)",https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/5/u/c/10-party-girl-perfume-with-long-lasting-premium-fragances-eau-de-original-imagzckfm3twy93s.jpeg?q=70,https://www.flipkart.com/la-french-party-girl-perfume-long-lasting-premium-fragances-eau-de-perfume-parfum-10-ml/p/itmb2eabd4adf6c3?pid=PERGZCKFDWKYPW7G&lid=LSTPERGZCKFDWKYPW7GXAIGRX&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_3_93&otracker=search&otracker1=search&fm=organic&iid=69391a36-9c96-4404-a0a1-9c3c00bca3e2.PERGZCKFDWKYPW7G.SEARCH&ppt=None&ppn=None&ssid=djtjfrg3f40000001680694841611&qH=a9d908f637866fb8,149,149,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 10 ml"",""Ideal For: Women"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Fresh"",""Fragrance Segment: Luxury"",""Base Note: Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Amber, Musk, Cashmere Wood, Patchouli, Cinnamon and Cedar."",""Top Note: Almond, Coffee, Bergamot and Lemon; middle notes are Tuberose, Jasmine Sambac, Orris, Orange Blossom and Bulgarian Rose""]",Eau de Parfum,Women,10 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
