imagelink,productlink,ProductName,Brand,price,maxretailprice,stars,Ratings,Reviews,Mother Category,Category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,Platform,Quantity
https://m.media-amazon.com/images/I/51VTEVvK2yL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Facial-Removal/dp/B08PCPMXVS/ref=sr_1_30?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-30,"Bombae Face Razor for women | Painless and Safe facial hair remover for women | Instant Glow | Women Razor for Eyebrow, Upper Lip, Forehead, Peach Fuzz, Chin | Safe for all skin types| Dermaplaning Tool",Bombay Shaving Company,189,379,4.0,8723,723,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingCreams,4361,2093,1221,436,610,Amazon,3 count
https://m.media-amazon.com/images/I/71pixWZnZRL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Imitation-Badger/dp/B01NAJ3X37/ref=sr_1_31?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-31,"Bombay Shaving Co Imitation Badger Shaving Brush, Cruelty-Free Bristles",Bombay Shaving Company,549,695,4.4,1681,681,Health&PersonalCare(SeeTop100inHealth&PersonalCare),Brushes,1075,386,117,50,50,Amazon,1 count
https://m.media-amazon.com/images/I/71zcWaE7TiL._AC_UL400_.jpg,https://amazon.in/Gillette-Venus-Simply-Removal-Women/dp/B08KGF8FRD/ref=sr_1_32?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-32,Gillette Venus Simply Venus Pink Hair Removal for Women - 5 razors (B4G1),Gillette Venus,252,300,4.4,9150,152,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,5307,2562,823,183,183,Amazon,1 count
https://m.media-amazon.com/images/I/51rEUByzDcL._AC_UL400_.jpg,https://amazon.in/Nivea-Men-Sensitive-Shaving-Foam/dp/B00FMUM060/ref=sr_1_33?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-33,"NIVEA MEN Shaving, Sensitive Shaving Foam for Face, 250ml",Not available,299,299,4.4,2284,284,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingCreams,1370,593,205,45,68,Amazon,250.0 millilitre
https://m.media-amazon.com/images/I/71SHhSe6aKS._AC_UL400_.jpg,https://amazon.in/Park-Avenue-Morning-Lather-Shaving/dp/B00DRE0W0Y/ref=sr_1_34?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-34,"J.K. Helene Curtis Park Avenue Good Morning Lather Shaving Cream, 84g",Not available,69,69,4.3,237,35,Not available,Not available,127,75,21,4,7,Amazon,Not available
https://m.media-amazon.com/images/I/51Ea-G26llL._AC_UL400_.jpg,https://amazon.in/AXE-Denim-Lather-Shaving-Cream/dp/B006LXDEE4/ref=sr_1_35?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-35,"AXE Denim Lather Shaving Cream, 60 g (with 30% Extra)",AXE,62,80,4.3,2416,416,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingCreams,1304,676,265,96,72,Amazon,60.0 gram
https://m.media-amazon.com/images/I/81BLTBSxyHL._AC_UL400_.jpg,https://amazon.in/Gillette-Vector-Manual-Shaving-Cartridge/dp/B00JQHKL7U/ref=sr_1_36?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-36,Gillette Vector Plus Manual Shaving Razor Blades (Cartridge) - 6s Pack,Gillette,180,180,4.4,2585,586,Not available,Not available,1576,646,232,51,77,Amazon,6 count
https://m.media-amazon.com/images/I/714p144YLqL._AC_UL400_.jpg,https://amazon.in/Pink-Woolf-Luxury-Shaving-Soap/dp/B07RHF4VTK/ref=sr_1_37?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-37,Pink Woolf Luxury Shaving Soap | For a True Wet Traditional Shaving Experience | Fresh Fragrance | With Shea Butter to Moisturize Skin | OCEANIC BLUE | 50gm,Pink Woolf,349,449,4.2,973,287,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingSoaps,544,243,107,38,48,Amazon,80 gram
https://m.media-amazon.com/images/I/61D7Kgv6p0L._AC_UL400_.jpg,https://amazon.in/Gillette-Manual-Shaving-Blades-Cartridge/dp/B00NNU0ES2/ref=sr_1_38?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-38,Gillette Mach 3 Manual  Shaving Razor Blades (Cartridge) 12s pack,Not available,"1,250","1,299",4.4,6735,Not available,Not available,Not available,NaN,NaN,NaN,NaN,NaN,Amazon,Not available
https://m.media-amazon.com/images/I/51MXk0HFk8L._AC_UL400_.jpg,https://amazon.in/Park-Avenue-Lather-Shaving-Cream/dp/B00HVVX1E8/ref=sr_1_39?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-39,Park Avenue - Cool Blue Lather Shaving Cream 60g with Free 40% (60g + 24g =84g),Park Avenue,63.,75,4.4,415,44,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingCreams,240,124,24,8,16,Amazon,84.0 gram
https://m.media-amazon.com/images/I/61y8yKHhXzL._AC_UL400_.jpg,https://amazon.in/Old-Spice-Musk-Shave-Cream/dp/B00HYSH5K4/ref=sr_1_40?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-40,"Old Spice Musk Pre Shave Cream, 70g",Old Spice,70,75,4.4,1071,071,Health&PersonalCare(SeeTop100inHealth&PersonalCare),HairRemovalPre-Treatments,664,278,85,21,32,Amazon,70.0 gram
