ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviewsLink,HighLights,Model Name,Model ID,Size,Decal Color,Laminated,Material,Sales Package,Number of Stickers,Sticker Type,Finish Width,Finish Height,Weight,Number of Contents in Sales Package,Pattern,Suitable For,Re-usable,Width,Height,Other Dimensions,Art Form Type,Regional Speciality,Sticker Shape,Ideal Use,Printed Text,Lamination Type,Scratch Resistant,Ideal For,Depth,Washable,Diameter,Pack of,Brand,Model Number,Flower Type,Collection Type,Color,Shade,Fragrance,Flower Material,Occasion,Vase Included,Vase Material,Glitter Coated,Dust Resistant,Other Features,Flower Diameter,Stem Length,Total Length,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Warranty Service Type,brand_color,Number of Handles,Lining,Reversible,Transparency,Lining Material,Fabric Care,Number of Domes,Idol Included,Finish,Storage Type,Rust Resistant,Stain Resistant,Quantity,Set of,Type,Maximum Shelf Life,Handmade,Country of Origin,Length,Waterproof,Paper Type,Shape,Match,Pattern Repeat,Area Covered,Paper Density,Print Type,Lifespan,Air Freshener Type,Pot Material,Pot Color,Pot Size,Style,Brand Color,Sub-category,Important Note,Plant Material,Pot Width,Pot Height,Design,Mount Mechanism,Frame Included,Wall Mount,Base Material,Frame Color,Frame Material,Artist Name,Luxury Clock,Luxury Material,Power Source,Battery,Dial Color,Case Bezel Material,Case Color,Number of Batteries,Domestic Warranty,International Warranty,Number of Photos,Mounted,Stand Material,Finishing,Backing,Suitable Photo Size,Ideal Usage,Locking Mechanism,Other Lock Features,Stem Material,Character,Dial Material,Hour Markers,Number of Hands,Wash Care Instructions
"Curtlane home décor 152.4 cm (5 ft) Polyester Room Darkening Window Curtain (Pack Of 2)  (Printed, Multicolor 18)",https://rukminim1.flixcart.com/image/612/612/kj1r53k0-0/curtain/w/w/k/roman-275-h-22-ring-rod-roman-reigns-original-imafyp2hfuascfwg.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-152-4-cm-5-ft-polyester-room-darkening-window-curtain-pack-2/p/itm37183b03fdd37?pid=CRNGF8VVSU3XYHJT&lid=LSTCRNGF8VVSU3XYHJTLDCEXA&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VVSU3XYHJT.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,899,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Window (121.92 cm x 152.4 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 5 feet Curtain for Windows (Multicolor) Balaji,Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 152.4 cm (5 ft) Polyester Room Darkening Window Curtain (Pack Of 2)  (Printed, Multicolor 15)",https://rukminim1.flixcart.com/image/612/612/km9ht3k0/curtain/h/c/u/swastik-textiles-presents-saraswati-mata-printed-curtain-pack-of-original-imagf77cxsf9qdkw.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-152-4-cm-5-ft-polyester-room-darkening-window-curtain-pack-2/p/itm0f31e65d60562?pid=CRNGF8VVANPS8VHY&lid=LSTCRNGF8VVANPS8VHYCYYQYP&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VVANPS8VHY.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,899,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Window (121.92 cm x 152.4 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 5 feet Curtain for Windows (Multicolor) Saraswati mata,Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Craftox Décor Artificial Fluffy Marigold with Jasmine Flower Garland Color Yellow Yellow Marigold, Jasmine Artificial Flower  (55 inch, Pack of 5, Garlands)",https://rukminim1.flixcart.com/image/612/612/l02r1jk0/garland/p/3/r/5-33001-5-craftox-decor-original-imagbxzgt6vynnph.jpeg?q=70,https://www.flipkart.com/craftox-dcor-artificial-fluffy-marigold-jasmine-flower-garland-color-yellow-marigold/p/itm7dc9d7a3546af?pid=ARFGJ86HHQZSK6J5&lid=LSTARFGJ86HHQZSK6J5NCSIDP&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.ARFGJ86HHQZSK6J5.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,599,1199,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Type: Marigold, Jasmine"",""Flower Material: Plastic, PVC"",""Length: 55 inch""]",Artificial Fluffy Marigold with Jasmine Flower Garland Color Yellow,Not available,Not available,Not available,Not available,Not available,package included:- 5 pieces of strings.,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,55X2.5 Inches,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5,Craftox Décor,C-33001-5,"Marigold, Jasmine",Garlands,Yellow,Yellow,No,"Plastic, PVC","Diwali,Festival",No,N/A,No,Yes,"The product is useful throughout the year. It is best to be used during festivals, spiritual decors, weddings, receptions, entrance decoration, inaugurations, baby shower, bridal shower, wall decor, garden decor, door hanging, photo backdrops, cultural events, hotel decorations, shooting etc.",2.5 inch,55 inch,55 inch,N/A,N/A,N/A,N/A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 152.4 cm (5 ft) Polyester Room Darkening Window Curtain (Pack Of 2)  (Printed, Multicolor 10)",https://rukminim1.flixcart.com/image/612/612/kjkbv680-0/curtain/y/d/f/god-curtain-210-23632-door-eyelet-vgc-original-imafz42rpvekjuzc.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-152-4-cm-5-ft-polyester-room-darkening-window-curtain-pack-2/p/itm1a75586d420a8?pid=CRNGF8VVAZHDCQNA&lid=LSTCRNGF8VVAZHDCQNA8ERJG1&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VVAZHDCQNA.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,899,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Window (121.92 cm x 152.4 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 5 feet Curtain for Windows (Multicolor) Durga,Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 274.32 cm (9 ft) Polyester Room Darkening Long Door Curtain (Pack Of 2)  (3D Printed, Multicolor 104)",https://rukminim1.flixcart.com/image/612/612/kobspe80/curtain/l/b/q/luxirious-look-premium-polyester-abstract-floral-desings-set-of-original-imag2t6hggw86ykc.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-274-32-cm-9-ft-polyester-room-darkening-long-door-curtain-pack-2/p/itm813da0739059a?pid=CRNGF8VWS6987DSB&lid=LSTCRNGF8VWS6987DSB1OMDQN&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VWS6987DSB.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,849,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Long Door (274.32 cm x 274.32 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 7 feet Curtain for Door (Multicolor),Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain104,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 274.32 cm (9 ft) Polyester Room Darkening Long Door Curtain (Pack Of 2)  (3D Printed, Multicolor 130)",https://rukminim1.flixcart.com/image/612/612/kk5rgy80/curtain/a/5/n/eyelet-digital-printed-curtains-of-soft-touch-fabrics-set-of-2-original-imafzkjnzm7hztpz.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-274-32-cm-9-ft-polyester-room-darkening-long-door-curtain-pack-2/p/itm9fbb947c2b62c?pid=CRNGF8VWTBAABFM9&lid=LSTCRNGF8VWTBAABFM9XDUYSE&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VWTBAABFM9.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,849,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Long Door (274.32 cm x 274.32 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 7 feet Curtain for Door (Multicolor),Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain130,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 152.4 cm (5 ft) Polyester Room Darkening Window Curtain (Pack Of 2)  (Printed, Multicolor 20)",https://rukminim1.flixcart.com/image/612/612/kj1r53k0-0/curtain/y/j/h/roman-214-h-17-ring-rod-roman-reigns-original-imafyp2knsp8m9t3.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-152-4-cm-5-ft-polyester-room-darkening-window-curtain-pack-2/p/itm781cbbc2841fc?pid=CRNGF8VVE5EN9FZZ&lid=LSTCRNGF8VVE5EN9FZZ1RGSQR&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VVE5EN9FZZ.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,799,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Window (121.92 cm x 152.4 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 5 feet Curtain for Windows (Multicolor) Radha & Krishna,Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 274.32 cm (9 ft) Polyester Room Darkening Long Door Curtain (Pack Of 2)  (3D Printed, Multicolor 103)",https://rukminim1.flixcart.com/image/612/612/kjx6tu80/curtain/y/u/a/frd3rr76-213-bhg8tr77-door-eyelet-moriya-original-imafzdpfwfspcrmq.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-274-32-cm-9-ft-polyester-room-darkening-long-door-curtain-pack-2/p/itmdc06dd604e341?pid=CRNGF8VWKBKCKHRE&lid=LSTCRNGF8VWKBKCKHRE7O8TTN&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VWKBKCKHRE.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,849,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Long Door (274.32 cm x 274.32 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 7 feet Curtain for Door (Multicolor),Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain103,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 274.32 cm (9 ft) Polyester Room Darkening Long Door Curtain (Pack Of 2)  (3D Printed, Multicolor 97)",https://rukminim1.flixcart.com/image/612/612/ktbu6q80/curtain/w/z/c/digital-print-curtain-santa-clause-214-door-abhi93-ring-rod-original-imag6zxghjyx5dgk.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-274-32-cm-9-ft-polyester-room-darkening-long-door-curtain-pack-2/p/itm29ff1e81fa1e9?pid=CRNGF8VWMGXR9FRF&lid=LSTCRNGF8VWMGXR9FRFJATN7U&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VWMGXR9FRF.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,849,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Long Door (274.32 cm x 274.32 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 7 feet Curtain for Door (Multicolor),Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain97,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 274.32 cm (9 ft) Polyester Room Darkening Long Door Curtain (Pack Of 2)  (3D Printed, Multicolor 121)",https://rukminim1.flixcart.com/image/612/612/klv7ekw0/curtain/x/t/z/jhu2rr13-152-window-hug3yy13-eyelet-shivam-textiles-original-imagyw4day9ekhnb.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-274-32-cm-9-ft-polyester-room-darkening-long-door-curtain-pack-2/p/itma2ddadde9dae5?pid=CRNGF8VW2YPVTVCR&lid=LSTCRNGF8VW2YPVTVCRZHVXQD&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VW2YPVTVCR.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,849,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Long Door (274.32 cm x 274.32 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 7 feet Curtain for Door (Multicolor),Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain121,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Curtlane home décor 274.32 cm (9 ft) Polyester Room Darkening Long Door Curtain (Pack Of 2)  (3D Printed, Multicolor 134)",https://rukminim1.flixcart.com/image/612/612/kmxsakw0/curtain/5/c/z/cvb9fg16-152-window-tyu5jk24-eyelet-kunal-enterprisess-original-imagfqypmgjhteyd.jpeg?q=70,https://www.flipkart.com/curtlane-home-dcor-274-32-cm-9-ft-polyester-room-darkening-long-door-curtain-pack-2/p/itm8e3c4977adb8f?pid=CRNGF8VWFFE7X5HV&lid=LSTCRNGF8VWFFE7X5HVTHOSBE&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.CRNGF8VWFFE7X5HV.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,849,1999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Long Door (274.32 cm x 274.32 cm)"",""Material: Polyester"",""Pack of: 2"",""Transparency: Room Darkening"",""Closure Type: Eyelet""]",Elegant Flower Print Long Crush Polyester Curtain 7 feet Curtain for Door (Multicolor),Not available,Not available,Not available,Not available,Not available,2 curtain,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Curtain134,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,NA,NA,NA,Not available,Not available,Not available,Not available,Room Darkening,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
