ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviewsLink,HighLights,Model Number,Sales Package,Ideal For,Type,Ingredient Type,Pack of,Brand,Model Name,Quantity,Face Wash Type,Maximum Shelf Life,Applied For,Skin Type,Container Type,Gift Pack,Other Traits,Country of Origin,Organic Type,Treatment Time,Application Frequency,Paraben Free,Treatment Form,Treatment Kit Contents,Organic,Treatment Type,Treatment Kit,Professional Care,Composition,Application Area,Hair Styling Type,Hair Type,Cleanser Type,Ideal Usage,Sulfate Free,PA Rating,SPF Rating,Formulation,Fragrance Classification,Domestic Warranty,Other Feature,Other Features,Anti Perspirant,Fragrance Family,Limited Edition,UV Protection,Set Of,Other Fetures
FAIR AND HANDSOME Long Lasting Radiance Cream|2X Spot Reduction|7 Hrs Brighter Look  (60 g),https://rukminim1.flixcart.com/image/612/612/xif0q/fairness/l/r/t/-original-imaghbhf3mz9vz8h.jpeg?q=70,https://www.flipkart.com/fair-handsome-long-lasting-radiance-cream-2x-spot-reduction-7-hrs-brighter-look/p/itm158fa3af8adea?pid=FRNFTZ8ZYDHHSGEE&lid=LSTFRNFTZ8ZYDHHSGEENPCQBF&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_2_75&otracker=search&otracker1=search&fm=organic&iid=5ec0fd4e-7fac-41bc-86d6-9bcb24c25135.FRNFTZ8ZYDHHSGEE.SEARCH&ppt=None&ppn=None&ssid=fyvduafzw00000001680602710727&qH=6d8d1e0ec3dc32f0,120,155,4.3,32801,"20,016","7,296","3,112","1,077","1,300","2,981 Reviews",https://www.flipkart.com/fair-handsome-long-lasting-radiance-cream-2x-spot-reduction-7-hrs-brighter-look/product-reviews/itm158fa3af8adea?pid=FRNFTZ8ZYDHHSGEE&lid=LSTFRNFTZ8ZYDHHSGEENPCQBF&marketplace=FLIPKART,"[""Day Usage Cream For Radiance & Glow"",""For Men"",""Organic Type: Natural""]",Not available,Not available,Men,Cream,Not available,1,FAIR AND HANDSOME,Long Lasting Radiance Cream|2X Spot Reduction|7 Hrs Brighter Look,60 g,Not available,24 Months,Radiance & Glow,Not available,Tubes,Not available,Not available,Not available,Natural,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Day,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"mars by GHC 2% Alpha Arbutin Serum For Dark Spots & Pigmentation|Kojic Acid, Hyaluronic Acid  (30 ml)",https://rukminim1.flixcart.com/image/612/612/l29c9e80/fairness/y/e/6/30-2-alpha-arbutin-serum-for-dark-spots-pigmentation-kojic-acid-original-imagdmx7rjxvxmeg.jpeg?q=70,https://www.flipkart.com/mars-ghc-2-alpha-arbutin-serum-dark-spots-pigmentation-kojic-acid-hyaluronic-acid/p/itm172f482f6ef94?pid=FRNGAQHQPKXKHGQG&lid=LSTFRNGAQHQPKXKHGQG4DBRNR&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_2_76&otracker=search&otracker1=search&fm=organic&iid=en_r5Xax%2BlE0UH2BKP0BSc07x%2BO1xENERvDsmtfsSQwX4DkBWKndG8RX%2FPqQ48U2F%2BzVLZiXe6ECaV06sm9%2BeMuAg%3D%3D&ppt=None&ppn=None&ssid=fyvduafzw00000001680602710727&qH=6d8d1e0ec3dc32f0,319,799,4.1,1098,626,201,112,53,106,225 Reviews,https://www.flipkart.com/mars-ghc-2-alpha-arbutin-serum-dark-spots-pigmentation-kojic-acid-hyaluronic-acid/product-reviews/itm172f482f6ef94?pid=FRNGAQHQPKXKHGQG&lid=LSTFRNGAQHQPKXKHGQG4DBRNR&marketplace=FLIPKART,"[""All Day Usage Serum For Pigmentation Removal, Spot Removal, Moisturization & Nourishment, Cleans Skin Pores, Blemish Removal"",""For Men, Women"",""Organic Type: Natural""]",Not available,Alpha Arbutin Pack of 1,"Men, Women",Serum,Not available,1,mars by GHC,"2% Alpha Arbutin Serum For Dark Spots & Pigmentation|Kojic Acid, Hyaluronic Acid",30 ml,Not available,24 Months,"Pigmentation Removal, Spot Removal, Moisturization & Nourishment, Cleans Skin Pores, Blemish Removal",All Skin Types,Not available,No,Not available,India,Natural,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2% Alpha Arbutin,Not available,Not available,Not available,Not available,All Day,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Parachute Advansed Men Anti-Hairfall Aftershower Hair Cream  (300 g),https://rukminim1.flixcart.com/image/612/612/je34pzk0/hair-styling/h/c/v/300-anti-hairfall-cream-parachute-advansed-original-imafyt6tzbpnb2du.jpeg?q=70,https://www.flipkart.com/parachute-advansed-men-anti-hairfall-aftershower-hair-cream/p/itmfb4guypkdtzvj?pid=HSYEZW68KRBCFHCV&lid=LSTHSYEZW68KRBCFHCVF7BNTR&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_2_77&otracker=search&otracker1=search&fm=organic&iid=5ec0fd4e-7fac-41bc-86d6-9bcb24c25135.HSYEZW68KRBCFHCV.SEARCH&ppt=None&ppn=None&ssid=fyvduafzw00000001680602710727&qH=6d8d1e0ec3dc32f0,216,267,4.3,13590,"7,670","3,528","1,423",426,543,"1,235 Reviews",https://www.flipkart.com/parachute-advansed-men-anti-hairfall-aftershower-hair-cream/product-reviews/itmfb4guypkdtzvj?pid=HSYEZW68KRBCFHCV&lid=LSTHSYEZW68KRBCFHCVF7BNTR&marketplace=FLIPKART,"[""For Men"",""For All Hair Types"",""Type: Hair Cream"",""Quantity: 300""]",Not available,Not available,Men,Not available,Not available,3,Parachute Advansed Men,Anti-Hairfall Aftershower,300 g,Not available,36 Months,Not available,Not available,Jar,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Hair Cream,All Hair Types,Not available,Not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"NIVEA Fresh Power Deodorant Roll-on  -  For Men  (100 ml, Pack of 2)",https://rukminim1.flixcart.com/image/612/612/kxf0jgw0/deodorant/u/0/o/-original-imag9vrgevfr5dpe.jpeg?q=70,https://www.flipkart.com/nivea-fresh-power-deodorant-roll-on-men/p/itmf3v9rszgrefey?pid=DEOFGHFSCWMMJDNQ&lid=LSTDEOFGHFSCWMMJDNQJTNXHJ&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_2_78&otracker=search&otracker1=search&fm=organic&iid=5ec0fd4e-7fac-41bc-86d6-9bcb24c25135.DEOFGHFSCWMMJDNQ.SEARCH&ppt=None&ppn=None&ssid=fyvduafzw00000001680602710727&qH=6d8d1e0ec3dc32f0,282,398,4.3,10942,"6,312","2,662","1,140",355,473,989 Reviews,https://www.flipkart.com/nivea-fresh-power-deodorant-roll-on-men/product-reviews/itmf3v9rszgrefey?pid=DEOFGHFSCWMMJDNQ&lid=LSTDEOFGHFSCWMMJDNQJTNXHJ&marketplace=FLIPKART,"[""Quantity: 100 ml"",""Fragrance: Deodorant Roll-on"",""For Men"",""Anti Perspirant""]",Not available,Not available,Men,Deodorant Roll-on,Not available,2,NIVEA,Fresh Power,100 ml,Not available,36 Months,Not available,Not available,Not available,Not available,100% ORIGINAL PRODUCT,India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Yes,Fresh,No,Not available,Not available,Not available
"Plum 15% Vitamin C Face Serum with Mandarin for Glowing Skin, Fragrance-Free  (20 ml)",https://rukminim1.flixcart.com/image/612/612/l2hwwi80/fairness/d/m/u/20-15-vitamin-c-face-serum-with-mandarin-for-glowing-skin-with-original-imagdtzxfng6nqzt.jpeg?q=70,https://www.flipkart.com/plum-15-vitamin-c-face-serum-mandarin-glowing-skin-fragrance-free/p/itm38df093a03b08?pid=FRNG4YBRZY57SEXD&lid=LSTFRNG4YBRZY57SEXDYOYNED&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_2_79&otracker=search&otracker1=search&fm=organic&iid=5ec0fd4e-7fac-41bc-86d6-9bcb24c25135.FRNG4YBRZY57SEXD.SEARCH&ppt=None&ppn=None&ssid=fyvduafzw00000001680602710727&qH=6d8d1e0ec3dc32f0,467,550,4.2,14834,"8,167","3,823","1,560",515,769,847 Reviews,https://www.flipkart.com/plum-15-vitamin-c-face-serum-mandarin-glowing-skin-fragrance-free/product-reviews/itm38df093a03b08?pid=FRNG4YBRZY57SEXD&lid=LSTFRNG4YBRZY57SEXDYOYNED&marketplace=FLIPKART,"[""All Day Usage Serum For Radiance & Glow, Pigmentation Removal, Daily Care, Skin Brightening"",""For Women, Men"",""Organic Type: Synthetic""]",Not available,Not available,"Women, Men",Serum,Not available,1,Plum,"15% Vitamin C Face Serum with Mandarin for Glowing Skin, Fragrance-Free",20 ml,Not available,Not available,"Radiance & Glow, Pigmentation Removal, Daily Care, Skin Brightening",All Skin Types,Glass Container,Not available,Not available,India,Synthetic,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Aqua, Ethyl Ascorbic Acid, Propanediol, Betaine, Isodecyl Neopentanoate, Ethoxy Diglycol, Sodium Citrate, Citric Acid, Citrus Reticulata (Mandarin) Peel Extract, Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract, Rosa Damascena (Rose) Extract, Benzyl Alcohol, Hydroxyacetophenone, Caprylyl Glycol, Trilaureth-4 Phosphate, Sodium Polyacryloyldimethyl Taurate, Xanthan Gum, Sodium Gluconate",Not available,Not available,Not available,Not available,All Day,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Men Deserve Hair Styling Cream (Strong Hold + Nourishment) Keratin Restore Hair Cream  (100 g),https://rukminim1.flixcart.com/image/612/612/kcz4rrk0/hair-styling/s/g/f/hair-cream-100-hair-styling-cream-strong-hold-nourishment-original-imaftzexyahejgxm.jpeg?q=70,https://www.flipkart.com/men-deserve-hair-styling-cream-strong-hold-nourishment-keratin-restore/p/itm6003c572efef6?pid=HSYFTZEW449P6SGF&lid=LSTHSYFTZEW449P6SGFZNDL8R&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_2_80&otracker=search&otracker1=search&fm=organic&iid=en_r5Xax%2BlE0UH2BKP0BSc07x%2BO1xENERvDsmtfsSQwX4CPg6qbFaCWG7wh23HwZU4rO1f0hbmW%2F16FpiOmIAeGxA%3D%3D&ppt=None&ppn=None&ssid=fyvduafzw00000001680602710727&qH=6d8d1e0ec3dc32f0,315,350,4,1217,652,223,129,90,123,126 Reviews,https://www.flipkart.com/men-deserve-hair-styling-cream-strong-hold-nourishment-keratin-restore/product-reviews/itm6003c572efef6?pid=HSYFTZEW449P6SGF&lid=LSTHSYFTZEW449P6SGFZNDL8R&marketplace=FLIPKART,"[""For Men"",""For All Hair Types"",""Type: Hair Cream"",""Quantity: 100"",""Sulfate Free""]",Not available,1 Unit of Hair Styling Cream Strong Hold,Men,Not available,Not available,1,Men Deserve,Hair Styling Cream (Strong Hold + Nourishment) Keratin Restore,100 g,Not available,24 Months,Not available,Not available,Jar,Not available,Not available,india,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Keratin protein, Vitamin E, Aquaxyl",Not available,Hair Cream,All Hair Types,Not available,Not available,Yes,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lotus Professional PROFESSIONAL PHYTO-Rx Whitening & Brightening CREME SPF-25 | PA+++  (50 g),https://rukminim1.flixcart.com/image/612/612/jyvvgcw0/sunscreen/n/p/p/50-phyto-rx-whitening-brightening-creme-spf-25-pa-50-g-0-lotus-original-imaeza447vsjvefm.jpeg?q=70,https://www.flipkart.com/lotus-professional-phyto-rx-whitening-brightening-creme-spf-25-pa/p/itm47c84c163f02e?pid=FRNE3VVKR7BFZF6Y&lid=LSTFRNE3VVKR7BFZF6YK5ML94&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_81&otracker=search&otracker1=search&fm=organic&iid=d5ba7965-9801-47c7-a09d-bbeb518b7b32.FRNE3VVKR7BFZF6Y.SEARCH&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,507,745,4.3,33214,"19,932","8,099","2,863",978,"1,342","3,116 Reviews",https://www.flipkart.com/lotus-professional-phyto-rx-whitening-brightening-creme-spf-25-pa/product-reviews/itm47c84c163f02e?pid=FRNE3VVKR7BFZF6Y&lid=LSTFRNE3VVKR7BFZF6YK5ML94&marketplace=FLIPKART,"[""Cream For Skin Brightening"",""Organic Type: Natural"",""UV Protected""]",Not available,1 Cream,Not available,Cream,Not available,Not available,Lotus Professional,PROFESSIONAL PHYTO-Rx Whitening & Brightening CREME SPF-25 | PA+++,50 g,Not available,36 Months,Skin Brightening,All Skin Types,Bottle,Not available,Not available,Not available,Natural,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Bilberry, Saxifraga",Not available,Not available,Not available,Not available,Not available,Not available,Not available,25,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Yes,Not available,Not available
ENVY Men Perfume Eau de Parfum  -  30 ml  (For Men),https://rukminim1.flixcart.com/image/612/612/kkyc9zk0/perfume/l/t/v/men-perfume-eau-de-parfum-envy-men-original-imagy6h6nztnqedb.jpeg?q=70,https://www.flipkart.com/envy-men-perfume-eau-de-parfum-30-ml/p/itmf3wgvuj4vgxth?pid=PEREUF6ZCXXRMJAZ&lid=LSTPEREUF6ZCXXRMJAZHKLM1M&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_82&otracker=search&otracker1=search&fm=organic&iid=d5ba7965-9801-47c7-a09d-bbeb518b7b32.PEREUF6ZCXXRMJAZ.SEARCH&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,114,145,4.3,123098,"73,429","28,477","11,840","3,993","5,359","14,512 Reviews",https://www.flipkart.com/envy-men-perfume-eau-de-parfum-30-ml/product-reviews/itmf3wgvuj4vgxth?pid=PEREUF6ZCXXRMJAZ&lid=LSTPEREUF6ZCXXRMJAZHKLM1M&marketplace=FLIPKART,"[""Quantity: 30 ml"",""Ideal For: Men"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Fresh""]",Not available,1 Perfume,Men,Not available,Not available,Not available,Not available,Not available,30 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Eau de Parfum,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"DENVER Hamilton, Prestige and Caliber Combo Deodorant Spray  -  For Men  (600 ml, Pack of 3)",https://rukminim1.flixcart.com/image/612/612/kdnf98w0pkrrdj/personal-care/h/q/q/600-hamilton-prestige-and-caliber-combo-denver-original-imafug65uhxg7zk9.jpeg?q=70,https://www.flipkart.com/denver-hamilton-prestige-caliber-combo-deodorant-spray-men/p/itmf3v9rzztk9enm?pid=DEOFCFYJCD9SGFPN&lid=LSTDEOFCFYJCD9SGFPNHPCJFL&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_83&otracker=search&otracker1=search&fm=organic&iid=d5ba7965-9801-47c7-a09d-bbeb518b7b32.DEOFCFYJCD9SGFPN.SEARCH&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,440,795,4.4,18624,"11,782","3,780","1,695",561,806,"1,476 Reviews",https://www.flipkart.com/denver-hamilton-prestige-caliber-combo-deodorant-spray-men/product-reviews/itmf3v9rzztk9enm?pid=DEOFCFYJCD9SGFPN&lid=LSTDEOFCFYJCD9SGFPNHPCJFL&marketplace=FLIPKART,"[""Quantity: 600 ml"",""Fragrance: Deodorant Spray"",""For Men""]",Not available,"1 Prestige Deo, 1 Hamilton Deo, 1 Caliber Deo",Men,Deodorant Spray,Not available,3,DENVER,"Hamilton, Prestige and Caliber Combo",600 ml,Not available,47 Months,Not available,Not available,Not available,Not available,Not available,india,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,No,Fresh,No,Not available,Not available,Not available
"Garnier Men Turbo Bright - Charcoal Skin Brightening ,150gm (Pack of 2) Face Wash  (300 g)",https://rukminim1.flixcart.com/image/612/612/ko8xtow0/face-wash/r/7/b/men-turbo-bright-facewash-charcoal-skin-brightening-facewash-original-imag2qyp5zfzfmyq.jpeg?q=70,https://www.flipkart.com/garnier-men-turbo-bright-charcoal-skin-brightening-150gm-pack-2-face-wash/p/itm9dcae28ef75c2?pid=FCWGF44HDSWKKMYP&lid=LSTFCWGF44HDSWKKMYPT2CR8A&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_84&otracker=search&otracker1=search&fm=organic&iid=en_oKxXJQGV3CfGlW4Km7nwCbPcDcqHF0lCYfQRj8lUPwmeo8ZgLFdSYhAsnGFnkD394BdHjY3lRZRTllTDyYiwhQ%3D%3D&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,455,650,4.4,181760,"1,16,703","42,134","13,531","3,934","5,458","14,665 Reviews",https://www.flipkart.com/garnier-men-turbo-bright-charcoal-skin-brightening-150gm-pack-2-face-wash/product-reviews/itm9dcae28ef75c2?pid=FCWGF44HDSWKKMYP&lid=LSTFCWGF44HDSWKKMYPT2CR8A&marketplace=FLIPKART,"[""For Men"",""Gel Based"",""For All Skin Types"",""Applied For: Radiance & Glow, Oil Control, Anti-dullness, Deep Cleansing, Skin Brightening"",""Comes in Tube""]",Not available,Not available,Men,Not available,Natural,2,Garnier Men,"Turbo Bright - Charcoal Skin Brightening ,150gm (Pack of 2)",300 g,Gel,32 Months,"Radiance & Glow, Oil Control, Anti-dullness, Deep Cleansing, Skin Brightening",All Skin Types,Tube,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
USTRAA Face Scrub De Tan with walnut granules (100g) Scrub  (100 g),https://rukminim1.flixcart.com/image/612/612/kerfl3k0/scrub/8/t/q/100-face-scrub-de-tan-with-walnut-granules-100g-ustraa-original-imafvd5dnydwz4ek.jpeg?q=70,https://www.flipkart.com/ustraa-face-scrub-de-tan-walnut-granules-100g/p/itmepzgye8fhpyjg?pid=SCBEPZGXRAAGS8TQ&lid=LSTSCBEPZGXRAAGS8TQDG4QUI&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_85&otracker=search&otracker1=search&fm=organic&iid=d5ba7965-9801-47c7-a09d-bbeb518b7b32.SCBEPZGXRAAGS8TQ.SEARCH&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,278,350,4.1,26635,"13,999","6,078","3,211","1,266","2,081","2,127 Reviews",https://www.flipkart.com/ustraa-face-scrub-de-tan-walnut-granules-100g/product-reviews/itmepzgye8fhpyjg?pid=SCBEPZGXRAAGS8TQ&lid=LSTSCBEPZGXRAAGS8TQDG4QUI&marketplace=FLIPKART,"[""For Men"",""Skin Type: All Skin Types"",""Applied For: Exfoliation, Cleansing, Blackhead Removal, Tan Removal"",""Application Area: Face""]",Not available,1 Scrub,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,24 Months,"Exfoliation, Cleansing, Blackhead Removal, Tan Removal",All Skin Types,Tube,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Face,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
mamaEarth Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric for Skin Illumination  (150 g),https://rukminim1.flixcart.com/image/612/612/xif0q/moisturizer-cream/v/j/w/150-vitamin-c-daily-glow-face-cream-with-vitamin-c-turmeric-for-original-imagj9anphgjmepk.jpeg?q=70,https://www.flipkart.com/mamaearth-vitamin-c-daily-glow-face-cream-turmeric-skin-illumination/p/itmb714d015dfa87?pid=FRNGJHYGEQFFCAE4&lid=LSTFRNGJHYGEQFFCAE4OWETOO&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_86&otracker=search&otracker1=search&fm=organic&iid=d5ba7965-9801-47c7-a09d-bbeb518b7b32.FRNGJHYGEQFFCAE4.SEARCH&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,347,399,4.2,13537,"7,489","3,070","1,450",629,899,901 Reviews,https://www.flipkart.com/mamaearth-vitamin-c-daily-glow-face-cream-turmeric-skin-illumination/product-reviews/itmb714d015dfa87?pid=FRNGJHYGEQFFCAE4&lid=LSTFRNGJHYGEQFFCAE4OWETOO&marketplace=FLIPKART,"[""All Day Usage Cream For Radiance & Glow"",""For Men, Women"",""Organic Type: Natural""]",Not available,Not available,"Men, Women",Cream,Not available,1,mamaEarth,Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric for Skin Illumination,150 g,Not available,24 Months,Radiance & Glow,Not available,Tubes,Not available,Not available,Not available,Natural,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,All Day,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"mamaEarth Skin Illuminate Face Cream, for skin brightening, with Vitamin C and Turmeric  (80 g)",https://rukminim1.flixcart.com/image/612/612/l1mh7rk0/fairness/4/4/o/80-skin-illuminate-face-cream-for-skin-brightening-with-vitamin-original-imagd59efyh4pjgr.jpeg?q=70,https://www.flipkart.com/mamaearth-skin-illuminate-face-cream-brightening-vitamin-c-turmeric/p/itm5319e60311003?pid=FRNGD59EENWRCHVQ&lid=LSTFRNGD59EENWRCHVQUZYUYE&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_87&otracker=search&otracker1=search&fm=organic&iid=d5ba7965-9801-47c7-a09d-bbeb518b7b32.FRNGD59EENWRCHVQ.SEARCH&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,224,249,4.2,13537,"7,489","3,070","1,450",629,899,901 Reviews,https://www.flipkart.com/mamaearth-skin-illuminate-face-cream-brightening-vitamin-c-turmeric/product-reviews/itm5319e60311003?pid=FRNGD59EENWRCHVQ&lid=LSTFRNGD59EENWRCHVQUZYUYE&marketplace=FLIPKART,"[""All Day Usage Cream For Radiance & Glow"",""For Women, Men"",""Organic Type: Natural""]",Not available,Not available,"Women, Men",Cream,Not available,1,mamaEarth,"Skin Illuminate Face Cream, for skin brightening, with Vitamin C and Turmeric",80 g,Not available,24 Months,Radiance & Glow,Not available,Tubes,Not available,Not available,India,Natural,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,All Day,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
THE MAN COMPANY Derma Roller for Men with 540 (0.5 mm) Micro-Needles  (1 g),https://rukminim1.flixcart.com/image/612/612/xif0q/body-skin-treatment/k/0/q/1-derma-roller-for-men-with-540-0-5-mm-micro-needles-the-man-original-imaghtfggzaefbkx.jpeg?q=70,https://www.flipkart.com/man-company-derma-roller-men-540-0-5-mm-micro-needles/p/itmc02acc2748312?pid=BSTGGSGHKGYKFVHG&lid=LSTBSTGGSGHKGYKFVHGPOYCJH&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_88&otracker=search&otracker1=search&fm=organic&iid=en_oKxXJQGV3CfGlW4Km7nwCbPcDcqHF0lCYfQRj8lUPwn69Mfhd7eWCDbVovnGvDA3lGVrdAqhfD6kPIlMp1WG6w%3D%3D&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,273,499,4.4,332,212,70,29,7,14,64 Reviews,https://www.flipkart.com/man-company-derma-roller-men-540-0-5-mm-micro-needles/product-reviews/itmc02acc2748312?pid=BSTGGSGHKGYKFVHG&lid=LSTBSTGGSGHKGYKFVHGPOYCJH&marketplace=FLIPKART,"[""For Men"",""Form: Roller"",""For Exfoliation""]",Not available,1,Not available,Not available,Not available,Not available,Not available,Derma Roller for Men with 540 (0.5 mm) Micro-Needles,Not available,Not available,Not available,Exfoliation,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Roller,1 Derma Roller,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Kamasutra Spark and Urge Deodorant Spray  -  For Men  (150 ml, Pack of 2)",https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/p/z/6/-original-imagz5zuy44nyg9h.jpeg?q=70,https://www.flipkart.com/kamasutra-spark-urge-deodorant-spray-men/p/itmf3v9rxfgzys9q?pid=DEOG2HEFD55HZZGR&lid=LSTDEOG2HEFD55HZZGRAR1HMJ&marketplace=FLIPKART&q=mengrooming&store=g9b&srno=s_3_89&otracker=search&otracker1=search&fm=organic&iid=d5ba7965-9801-47c7-a09d-bbeb518b7b32.DEOG2HEFD55HZZGR.SEARCH&ppt=None&ppn=None&ssid=46fxpefcr40000001680602712075&qH=6d8d1e0ec3dc32f0,168,180,4.1,40941,"23,395","7,800","4,625","2,149","2,972","3,428 Reviews",https://www.flipkart.com/kamasutra-spark-urge-deodorant-spray-men/product-reviews/itmf3v9rxfgzys9q?pid=DEOG2HEFD55HZZGR&lid=LSTDEOG2HEFD55HZZGRAR1HMJ&marketplace=FLIPKART,"[""Quantity: 150 ml"",""Fragrance: Deodorant Spray"",""For Men""]",Not available,Not available,Men,Deodorant Spray,Not available,2,Kamasutra,Spark and Urge,150 ml,Not available,36 Months,Not available,Not available,Not available,Not available,Not available,India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
