ProductName,image,link,price,maxretailprice,stars,GlobalRatings,Best Sellers Rank,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Brand,Number of Blades,Recommended Uses For Product,Age Range (Description),Skin Type,Net Quantity,Number of Items,Number of Pieces,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Packer,Importer,Item Weight,Item Dimensions LxWxH,Included Components,Colour,Generic Name,Batteries,Is Discontinued By Manufacturer,Item Form,Scent,Active Ingredients,Use for,Special Ingredients,Material Type Free,Special Feature,Power Source,Model Name,Battery Life,Blade Material,Item part number
Pink Woolf Luxury Shaving Soap | For a True Wet Traditional Shaving Experience | Fresh Fragrance | With Shea Butter to Moisturize Skin | OCEANIC BLUE | 50gm,https://m.media-amazon.com/images/I/714p144YLqL._AC_UL400_.jpg,https://amazon.in/Pink-Woolf-Luxury-Shaving-Soap/dp/B07RHF4VTK/ref=sr_1_35?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-35,349,449,4.2,964,Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Bombay Shaving Co Silver Metal Precision Safety Razor for Men with Feather Blades | Men's Gift Set | Shaving Razor for Men,https://m.media-amazon.com/images/I/61g1izv2J5L._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Precision-Feather/dp/B01MRHQYHV/ref=sr_1_36?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-36,999,"1,495",4.0,"2,472","  #2,645 in Health & Personal Care (See Top 100 in Health & Personal Care)    #2 in Men's Safety Razors   #2 in Post-Treatment Kits       #2 in Men's Safety Razors #2 in Post-Treatment Kits",56%,19%,9%,4%,12%,https://amazon.in/Bombay-Shaving-Company-Precision-Feather/product-reviews/B01MRHQYHV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Bombay Shaving Company,1,Not available,Not available,"Sensitive, Normal",1 count,1,Not available,6 x 16 x 6 cm; 220 Grams,9 November 2016,"Visage Lines Personal care Private Limited, Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233",B01MRHQYHV,Shaving Razor for Men,India,"Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233","Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233",220 g,6 x 16 x 6 Centimeters,Precision Safety Razor + 5 Blades,Not available,Razor For men,Not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Bombay Shaving Company Turmeric Shaving Foam,266 ml (33% Extra) with Turmeric & Sandalwood",https://m.media-amazon.com/images/I/41-Gr+506qL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Turmeric-Accessories/dp/B084VKRZSW/ref=sr_1_37?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-37,149,345,4.0,"2,303",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"LetsShave Shave Foam Menthol for Men- 200 gm x 2, Coconut Oil Enriched - | Shaving Foam with Skin Nourishing Agents for Sensitive Skin | No artificial color and No alcohol | 200 g Each, Pack of 2",https://m.media-amazon.com/images/I/71LeXcjP2lL._AC_UL400_.jpg,https://amazon.in/LetsShave-Shave-Foam-200-Pack/dp/B07MNFWL11/ref=sr_1_38?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-38,189,498,4.1,"1,416",Not available,51%,27%,12%,4%,6%,https://amazon.in/LetsShave-Shave-Foam-200-Pack/product-reviews/B07MNFWL11?reviewerType=all_reviews,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Bombae Face Razor for women | Painless and Instant Biodegradable face and eyebrow razor for women | 5-in-1 Women Razor for Eyebrow, Upper Lip, Forehead, Peach Fuzz, Chin | Safe for all skin types|Dermaplaning Tool",https://m.media-amazon.com/images/I/61PMm-K8IgL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Reusable-Biodegradable/dp/B08WRN1R2L/ref=sr_1_39?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-39,279,499,4.2,"2,147",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Gillette Sensitive Shave Gel, Deep Comfort | 0% Paraben | 195 g, White",https://m.media-amazon.com/images/I/617E8xfwPhL._AC_UL400_.jpg,https://amazon.in/Gillette-Sensitive-Shave-Comfort-Paraben/dp/B09QL4CYJS/ref=sr_1_40?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-40,315,350,4.4,339,Not available,60%,27%,8%,1%,4%,https://amazon.in/Gillette-Sensitive-Shave-Comfort-Paraben/product-reviews/B09QL4CYJS?reviewerType=all_reviews,Not available,Gillette,Not available,Not available,Adult,Sensitive,196.0 gram,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,196 Grams,Not available,Not available,Not available,Not available,Not available,Not available,Cream,Aloe Vera,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"NIVEA MEN Shaving, Sensitive Shaving Foam for Face, 250ml",https://m.media-amazon.com/images/I/51rEUByzDcL._AC_UL400_.jpg,https://amazon.in/Nivea-Men-Sensitive-Shaving-Foam/dp/B00FMUM060/ref=sr_1_41?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-41,299,299,4.4,"2,272",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"NIVEA MEN Shaving, Deep Impact Smooth Shaving Foam, 200ml",https://m.media-amazon.com/images/I/51H6VJnzM1L._AC_UL400_.jpg,https://amazon.in/Nivea-Impact-Smooth-Shave-Shaving/dp/B07D9LMCC7/ref=sr_1_42?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-42,225,225,4.3,"2,195",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Yardley London Gentleman Classic Shaving with Aloe Vera Foam, 200g (Pack of 2)",https://m.media-amazon.com/images/I/6102MNEgC5L._AC_UL400_.jpg,https://amazon.in/Yardley-London-Gentleman-Classic-Shaving/dp/B08TN84YX5/ref=sr_1_43?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-43,315,398,4.0,136,Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Bombay Shaving Co Shaving Brush with Cruelty-Free Imitation Badger Bristles (Polished Black Handle),https://m.media-amazon.com/images/I/81bkAA3b6SL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Brush-Polished/dp/B07HKF17QG/ref=sr_1_44?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-44,,,4.4,"1,665",Not available,64%,23%,7%,3%,3%,https://amazon.in/Bombay-Shaving-Company-Brush-Polished/product-reviews/B07HKF17QG?reviewerType=all_reviews,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Dettol lather shaving cream 60g+18gfree=78g,https://m.media-amazon.com/images/I/51jKKPFayKL._AC_UL400_.jpg,https://amazon.in/Dettol-lather-shaving-cream-18gfree/dp/B002ZVK8LS/ref=sr_1_45_mod_primary_new?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=suncream%2Caps%2C303&sr=8-45,7082,85₹85,4.2,"2,092",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Bombay Shaving Co Premium Grooming and Shaving Kit Gift Hamper for Men | Pre Shave Scrub, Shaving Cream, Post Shave Balm, Charcoal Soap, Towel, Shaving Kit Bag | Gift For Men/Husband/Boyfriend",https://m.media-amazon.com/images/I/81xsxPkSkVL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Premium-Charcoal/dp/B08LR6TF53/ref=sr_1_46?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-46,550,942,4.4,"2,153",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gillette Presto Sata Sat Razor- Pack of 5,https://m.media-amazon.com/images/I/71ouk1VpCHL._AC_UL400_.jpg,https://amazon.in/Gillette-Presto-Sata-Razor-Count/dp/B01HBJI2GQ/ref=sr_1_47?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-47,88,88,4.3,609,Not available,60%,25%,8%,3%,4%,https://amazon.in/Gillette-Presto-Sata-Razor-Count/product-reviews/B01HBJI2GQ?reviewerType=all_reviews,Not available,Gillette,2,Not available,Not available,All,5.00 count,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Blue,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Pearl Shaving Double Edge Safety Razor (SS-04 OC (CHROME)) | Proudly Made In India | Classic & Traditional Premium Shaving Kit | Open Comb Shaving Razor | 10 Razor Blade Refills| Valentines Day Gift,https://m.media-amazon.com/images/I/81GKovfDuhL._AC_UL400_.jpg,https://amazon.in/Pearl-Shaving-Double-Safety-Razor/dp/B082WDN8ZW/ref=sr_1_48?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-48,349,600,4.1,"2,010",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Bombay Shaving Company Sensitive Shaving Foam,266 ml (33% Extra) with Aloe Vera & Oats (Aloe Vera)",https://m.media-amazon.com/images/I/61Rr0+pCgjL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Sensitive-Accessories/dp/B084VKT9K3/ref=sr_1_49?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-49,148,275,4.1,"1,857",Not available,Not available,Not available,Not available,Not available,Not available,https://amazon.inundefined,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gillette Mach 3 Shaving Blades- Pack of 6 (Cartridges),https://m.media-amazon.com/images/I/71GmLK9g0-S._AC_UL400_.jpg,https://amazon.in/Gillette-Mach-Shaving-Blades-Cartridges/dp/B07VGXVZ63/ref=sr_1_50?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-50,656,820,4.5,"18,617",Not available,65%,24%,7%,2%,3%,https://amazon.in/Gillette-Mach-Shaving-Blades-Cartridges/product-reviews/B07VGXVZ63?reviewerType=all_reviews,Not available,Gillette,3,Shaving,Adult,All,6 count,1,6,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
