imagelink,productlink,ProductName,Brand,price,maxretailprice,stars,Ratings,Reviews,Mother Category,Category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,Platform,Quantity
https://m.media-amazon.com/images/I/71pCyCh8ubL._AC_UL400_.jpg,https://amazon.in/Set-Wet-Deodorant-Perfume-Mischief/dp/B079QBB5YT/ref=sr_1_15?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-15,"SET WET Deodorant Spray Perfume Cool, Charm & Mischief Avatar for men, 150ml (Pack of 3)",Set Wet,274,660,4.0,11416,416,Beauty,Deodorant,5822,2511,1598,570,799,Amazon,450.0 millilitre
https://m.media-amazon.com/images/I/61LSmk9q5kL._AC_UL400_.jpg,https://amazon.in/Paradise-Perfume-Lasting-Everyday-Deodorant/dp/B0BCGL1PX6/ref=sr_1_16?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-16,"Fogg Paradise, No Gas Perfume Body Spray for Women, Long Lasting Everyday Deodorant, 65ml",FOGG,105,150,4.2,10140,140,Beauty,Deodorant,5779,2433,1014,304,608,Amazon,54.17 gram
https://m.media-amazon.com/images/I/61-3sDp2zpL._AC_UL400_.jpg,https://amazon.in/Yardley-London-Gentleman-Classic-Perfume/dp/B08T28XGRG/ref=sr_1_17?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-17,"Yardley London Gentleman Classic Perfume For Men, 100ml",Yardley,471,649,3.9,2493,493,Beauty,Perfume,1171,573,349,174,249,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/61JpLN6rMOL._AC_UL400_.jpg,https://amazon.in/Ustraa-Cologne-Scuba-Men-100/dp/B083J7VQKG/ref=sr_1_18?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-18,Ustraa Scuba Cologne - 100 ml - Perfume for Men,Ustraa,543,899,3.8,4151,151,Beauty,EaudeCologne,1743,954,705,290,456,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/71JZoLhUZ1L._AC_UL400_.jpg,https://amazon.in/Engage-Yang-Eau-Parfum-90ml/dp/B07952CQ5F/ref=sr_1_19?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-19,"Engage Yang EDP Perfume For Women 90ml, Floral and Fruity, Premium Long Lasting Fragrance, Skin Friendly, Everyday Fragrance",Not available,420,525,4.2,1408,408,Not available,Not available,788,309,168,56,84,Amazon,Not available
https://m.media-amazon.com/images/I/51QJzYUXsDL._AC_UL400_.jpg,https://amazon.in/Engage-Indigo-Perfume-Lasting-Everyday/dp/B0BCK3Y26J/ref=sr_1_20?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-20,"Engage Indigo Skies Perfume for Men, Long Lasting, Fresh and Earthy, for Everyday Use, Gift for Men, Free Tester with pack, 100ml",Engage,422,599,3.9,159,53,Beauty,Perfume,77,36,12,12,19,Amazon,100.0 gram
https://m.media-amazon.com/images/I/41xnpw5CljL._AC_UL400_.jpg,https://amazon.in/Fogg-Xtremo-Scent-Men-100ml/dp/B016BVZOBQ/ref=sr_1_21?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-21,"Fogg Long-Lasting Fresh & Soothing Fragrance Xtremo Scent For Men, Eau De Parfum, 100ml",FOGG,375,599,4.1,17901,901,Beauty,EaudeParfum,9129,4296,2327,716,1432,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/61ewhLtE2AL._AC_UL400_.jpg,https://amazon.in/Fastrack-Perfume-Women-Beat-350/dp/B0821KJSJ1/ref=sr_1_22?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-22,"Fastrack Perfume Women Beat, 100 ml",Fastrack,760,895,4.2,693,71,Beauty,Perfume,422,131,69,27,41,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/71OI9DfSTPL._AC_UL400_.jpg,https://amazon.in/Park-Avenue-Good-Morning-Deodorant/dp/B007E9I11K/ref=sr_1_23?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-23,"Park Avenue Good Morning Body Deodorant for Men, 100g/150ml",Park Avenue,157,225,4.0,7809,809,Beauty,Deodorant,3826,1952,1093,390,546,Amazon,150.0 millilitre
https://m.media-amazon.com/images/I/61qtGuVTF5L._AC_UL400_.jpg,https://amazon.in/Yardley-London-Gentleman-Compact-Perfume/dp/B07K363Y7M/ref=sr_1_24?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-24,"Yardley London Gentleman Royale Compact Perfume for Men, 18ml",Yardley,49,70,4.2,511,50,Beauty,Perfume,281,137,40,25,30,Amazon,18 count
https://m.media-amazon.com/images/I/710SI8g1RaL._AC_UL400_.jpg,https://amazon.in/Fogg-Scent-Intensio-Men-100ml/dp/B016BVZL8C/ref=sr_1_25?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-25,"Fogg Long-Lasting Fresh, Exotic & Soothing Fragrance Intensio Scent For Men, Eau De Parfum, 100ml",FOGG,390,650,4.1,6970,970,Beauty,EaudeParfum,3903,1533,766,278,487,Amazon,100.0 millilitre
